matching.btree_spp,link_sp_name,cz,BL_latin,c_name,sister_split
Megascops albogularis,white-throated-screech-owl-megascops-albogularis,ok,Megascops albogularis,White-throated Screech-owl,
Megascops asio,eastern-screech-owl-megascops-asio,ok,Megascops asio,Eastern Screech-owl,
Megascops kennicottii,western-screech-owl-megascops-kennicottii,ok,Megascops kennicottii,Western Screech-owl,
Megascops watsonii,tawny-bellied-screech-owl-megascops-watsonii,ok,Megascops watsonii,Tawny-bellied Screech-owl,
Megastictus margaritatus,pearly-antshrike-megastictus-margaritatus,ok,Megastictus margaritatus,Pearly Antshrike,
Megatriorchis doriae,dorias-goshawk-megatriorchis-doriae,ok,Megatriorchis doriae,Doria's Goshawk,
Megazosterops palauensis,giant-white-eye-megazosterops-palauensis,ok,Megazosterops palauensis,Giant White-eye,
Melaenornis edolioides,northern-black-flycatcher-melaenornis-edolioides,ok,Melaenornis edolioides,Northern Black-flycatcher,
Melampitta gigantea,greater-melampitta-megalampitta-gigantea,ok,Megalampitta gigantea,Greater Melampitta,
Melampitta lugubris,lesser-melampitta-melampitta-lugubris,ok,Melampitta lugubris,Lesser Melampitta,
Melanerpes aurifrons,golden-fronted-woodpecker-melanerpes-aurifrons,ok,Melanerpes aurifrons,Golden-fronted Woodpecker,
Melanerpes cactorum,white-fronted-woodpecker-melanerpes-cactorum,ok,Melanerpes cactorum,White-fronted Woodpecker,
Melanerpes candidus,white-woodpecker-melanerpes-candidus,ok,Melanerpes candidus,White Woodpecker,
Melanerpes carolinus,red-bellied-woodpecker-melanerpes-carolinus,ok,Melanerpes carolinus,Red-bellied Woodpecker,
Melanerpes chrysauchen,golden-naped-woodpecker-melanerpes-chrysauchen,ok,Melanerpes chrysauchen,Golden-naped Woodpecker,
Melanerpes chrysogenys,golden-cheeked-woodpecker-melanerpes-chrysogenys,ok,Melanerpes chrysogenys,Golden-cheeked Woodpecker,
Melanerpes cruentatus,yellow-tufted-woodpecker-melanerpes-cruentatus,ok,Melanerpes cruentatus,Yellow-tufted Woodpecker,
Melanerpes erythrocephalus,red-headed-woodpecker-melanerpes-erythrocephalus,ok,Melanerpes erythrocephalus,Red-headed Woodpecker,
Melanerpes flavifrons,yellow-fronted-woodpecker-melanerpes-flavifrons,ok,Melanerpes flavifrons,Yellow-fronted Woodpecker,
Melanerpes formicivorus,acorn-woodpecker-melanerpes-formicivorus,ok,Melanerpes formicivorus,Acorn Woodpecker,
Melanerpes herminieri,guadeloupe-woodpecker-melanerpes-herminieri,ok,Melanerpes herminieri,Guadeloupe Woodpecker,
Melanerpes hoffmannii,hoffmanns-woodpecker-melanerpes-hoffmannii,ok,Melanerpes hoffmannii,Hoffmann's Woodpecker,
Melanerpes hypopolius,grey-breasted-woodpecker-melanerpes-hypopolius,ok,Melanerpes hypopolius,Grey-breasted Woodpecker,
Melanerpes lewis,lewiss-woodpecker-melanerpes-lewis,ok,Melanerpes lewis,Lewis's Woodpecker,
Melanerpes portoricensis,puerto-rican-woodpecker-melanerpes-portoricensis,ok,Melanerpes portoricensis,Puerto Rican Woodpecker,
Melanerpes pucherani,black-cheeked-woodpecker-melanerpes-pucherani,ok,Melanerpes pucherani,Black-cheeked Woodpecker,
Melanerpes pulcher,beautiful-woodpecker-melanerpes-pulcher,ok,Melanerpes pulcher,Beautiful Woodpecker,
Melanerpes pygmaeus,yucatan-woodpecker-melanerpes-pygmaeus,ok,Melanerpes pygmaeus,Yucatan Woodpecker,
Melanerpes radiolatus,jamaican-woodpecker-melanerpes-radiolatus,ok,Melanerpes radiolatus,Jamaican Woodpecker,
Melanerpes rubricapillus,red-crowned-woodpecker-melanerpes-rubricapillus,ok,Melanerpes rubricapillus,Red-crowned Woodpecker,
